"rid", "binaryID"
491,11101011101111111101100111011010111101111100111011111001110100101011010
492,11101011101111111101100111011010111101111100111011111001110100101011011
606,11101011101111111101100111011010111101111100111011111001110100101011110
614,11101011101111111101100111011010111101111100111011111001110100101011111
209,111010111011111111011001110110101111011111001101010000000010111001110010
220,111010111011111111011001110110101111011111001101010000000010111001110011
314,111010111011111111011001110110101111011111001101010000000010111001111110
335,111010111011111111011001110110101111011111001101010000000010111001111111
360,111010111011111111011001110110101111011111001101010000000010111010110100
363,111010111011111111011001110110101111011111001101010000000010111010110101
782,111010111011111111011001110110101111011111001110011011110000111011010000
791,111010111011111111011001110110101111011111001110011011110000111011010001
788,111010111011111111011001110110101111011111001110011011110000111011010010
789,111010111011111111011001110110101111011111001110011011110000111011010011
484,111010111011111111011001110110101111011111001110111110011101001010110110
485,111010111011111111011001110110101111011111001110111110011101001010110111
